Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA_TCGA-BR-8588	0.0599869434592954	0.00589060142636632	0	0.171664627828767	0	0.113153458713957	0.0582151365727636	0.0479188395739172	0.021029363125402	0	0	0.061493932003864	0.0162537477411821	0.00395445145917144	0.113319657843892	0.0885369396586341	0.041102240412642	0	0.182287459236589	0	0	0.0151926009435565	0.011	0.250381929045803	0.986609598069387
TCGA_TCGA-VQ-A8DU	0.0369230127753489	0	0.0206108054192063	0.122056432285206	0	0.217304392148344	0	0.00864085721174808	0.0545884098288364	0.00107253834344905	0	0.0743892476334637	0	0.108759913532116	0.0781043006658106	0.0456109460752397	0	0	0.231939144081231	0	0	0	0.0629999999999999	0.149675589299578	1.03567136780683
TCGA_TCGA-HU-A4G9	0.0125299433742882	0.00456417299888507	0.00653905696544082	0	0	0.319375224974249	0	0.0652800176967331	0	0	0	0.08010624668576	0	0.18257620193661	0.0573120646258614	0.0241168273132042	0	0.0266276641249148	0.149307177248098	0	0	0.0716654020559555	0.518	0.0327501583054355	1.08476367372835
TCGA_TCGA-CD-A4MG	0.088711344705548	0	0	0.0492899116983378	0	0.207179999981903	0	0.0188775443926821	0.016670116643802	0	0	0.053508829973648	0.00695809090640896	0.174722373006666	0.0962092549813964	0.197542231137477	0.0116240346409435	0	0.0675061825920854	0	0	0.0112000853391022	0.003	0.323455748661811	0.954260563795295
TCGA_TCGA-HU-8602	0.0140161780015423	0	0	0.0853530957919411	0	0.138221618367791	0.146001831858631	0	0	0	0.0460429886272645	0.00501510810647741	0	0.292602569412429	0.0865074306243647	0.102504928765859	0	0.0160942394051329	0	0.0409207266459312	0	0.0267192843926364	0.003	0.324083904977777	0.960856414117435
TCGA_TCGA-VQ-A91S	0.00797535616370302	0	0	0.30434629330431	0	0.0840495650551968	0.169914995162929	0.0217244843113099	0.00683444014524953	0	0.0223557526809436	0.0131883607370239	0.0217726144654756	0.124600146508642	0.0915225443115143	0.0507898463306454	0.00813379084315172	0	0.0727918099799053	0	0	0	0.118	0.118455381021738	1.05493383038233
TCGA_TCGA-HU-A4GY	0.107253547433303	0.0791928556164212	0	0.188884820454242	0	0.127243120694571	0.000550862861427925	0	0.0630039536940972	0	0	0.0187366948355166	0	0.0963608287320798	0.124261079439805	0.127304112045078	0.00288929111863888	0	0.0643188330748196	0	0	0	0	0.578422420205956	0.824130147791011
TCGA_TCGA-BR-8365	0.0424174064963314	0	0.0567555019992681	0.187112994990843	0	0.217225095737236	0	0	0.021016689945516	0.0152174008786342	0	0.0393432809632783	0	0.0149005043683389	0.0536631794861089	0.065932753749246	0.00189967863928827	0.00645845882245616	0.278057053923455	0	0	0	0.001	0.363640852481026	0.936410771257385
TCGA_TCGA-D7-5578	0.0252177219284345	0.00714014677527844	0.144166509236081	0.136100801540179	0	0.0444482177946506	0.0252236597857222	0.0337362213420459	0.0527141475412506	0	0	0.0447774079686241	0.0193229809527389	0.105458216373389	0.0514429522104156	0.0706344575783795	0.0335446358055889	0	0.206071923167222	0	0	0	0	0.409685281325636	0.912563174760914
TCGA_TCGA-BR-8682	0.0577872813447773	0	0	0.0470772413797668	0	0.102630941289656	0	0.0247275620268264	0.0507050419431417	0	0	0.0331298535043746	0	0.293627173866586	0.019930961265788	0.129482553747694	0.0170175944377994	0	0.22388379519359	0	0	0	0	0.418966897778039	0.909510572822829
TCGA_TCGA-CG-4465	0.0307330212143314	0	0	0.0424149260193195	0	0.07368305614229	0.0802210838861494	0.0261227095949728	0.00228260663149965	0.00648735233740797	0.0146427717941691	0.0125275054274	0	0.104782138539069	0.145158295529745	0.263273923467433	0.024051815646568	0	0.125233769527172	0	0	0.0483850242424731	0.078	0.139582483266327	1.04033102103294
TCGA_TCGA-CG-5720	0.000588769064401939	0.0100109733700627	0.0181842695667071	0.0783378448786068	0	0.0728426755216569	0.0300755143894955	0.0247493144380852	0.0578852241526759	0	0	0	0.0354493717524129	0.171394182786006	0.0444192025959953	0.0648045897029234	0	0.016859149366564	0.285882513768067	0.0411712958129349	0	0.0473451088334047	0	0.398031718239761	0.918763471670388
