Gene	Type
BAK1	pyroptosis
BAX	pyroptosis
CASP1	pyroptosis
CASP3	pyroptosis
CASP4	pyroptosis
CASP5	pyroptosis
CHMP2A	pyroptosis
CHMP2B	pyroptosis
CHMP3	pyroptosis
CHMP4A	pyroptosis
CHMP4B	pyroptosis
CHMP4C	pyroptosis
CHMP6	pyroptosis
CHMP7	pyroptosis
CYCS	pyroptosis
ELANE	pyroptosis
GSDMD	pyroptosis
GSDME	pyroptosis
GZMB	pyroptosis
HMGB1	pyroptosis
IL18	pyroptosis
IL1A	pyroptosis
IL1B	pyroptosis
IRF1	pyroptosis
IRF2	pyroptosis
TP53	pyroptosis
TP63	pyroptosis
AIM2	pyroptosis
CASP6	pyroptosis
CASP8	pyroptosis
CASP9	pyroptosis
GPX4	pyroptosis
GSDMA	pyroptosis
GSDMB	pyroptosis
GSDMC	pyroptosis
IL6	pyroptosis
NLRC4	pyroptosis
NLRP1	pyroptosis
NLRP2	pyroptosis
NLRP3	pyroptosis
NLRP6	pyroptosis
NLRP7	pyroptosis
NOD1	pyroptosis
NOD2	pyroptosis
PJVK	pyroptosis
PLCG1	pyroptosis
PRKACA	pyroptosis
PYCARD	pyroptosis
SCAF11	pyroptosis
TIRAP	pyroptosis
TNF	pyroptosis
GZMA	pyroptosis
CASP11	pyroptosis
ACS	pyroptosis
Pyrin	pyroptosis
NLRP10	pyroptosis
