id	HR	HR.95L	HR.95H	pvalue
GZMB	0.88361373526882	0.82099615025301	0.951007179406508	0.000968659430003506
GBP5	0.893989999514176	0.829067938141632	0.963995931410416	0.00357722163571988
IFNG	0.813811119184061	0.730260006352899	0.906921551154429	0.000193288548612192
GZMA	0.91332283100272	0.841865116382287	0.990845893716821	0.0291683248866181
PRF1	0.864042206179288	0.779277220362419	0.958027406103266	0.00553914825069481
GNLY	0.883699621556414	0.803345668150553	0.972090909429786	0.011024691132285
GBP4	0.898851479876587	0.834918703449706	0.967679822643953	0.00461582602527505
IL12RB1	0.765646444137834	0.650632218831821	0.900992081937519	0.00130294381117446
IRF1	0.793640752248015	0.70791797700608	0.889743817910399	7.39759006997252e-05
FASLG	0.727877672604769	0.618655456870209	0.856382822446656	0.00012869013381237
CXCR6	0.795539419525724	0.710638145990676	0.890584007613391	7.11551937439795e-05
MMP25	0.78913432829771	0.670956326804487	0.928127455126209	0.00422233532585489
IL2RB	0.869655240849436	0.789970272702535	0.957378098987879	0.00439542605411158
ICOS	0.80080493844208	0.699995569558053	0.916132297577406	0.00121217871783216
CD274	0.803601496672016	0.697246530737511	0.926179388473166	0.00253852616621794
IL18RAP	0.803408041945713	0.695108646250685	0.928580712302439	0.0030468945236491
CASP1	0.873500507092439	0.800580831878172	0.95306195890393	0.00235876795729905
CXCL9	0.939277999539026	0.888892361674563	0.992519677811155	0.0259555788459978
LAG3	0.855835425642312	0.778504532252967	0.940847799131827	0.00127356925703398
CD80	0.774249741810825	0.644693845652615	0.929840833345167	0.00617132668576782
KLRD1	0.796091809794974	0.678821603529086	0.933621096217044	0.0050358079896863
UBE2L6	0.846332815384956	0.751996194711978	0.95250380179353	0.00565784244020731
TAP1	0.824883104269238	0.741282802170126	0.917911671115088	0.000414008175542858
TLR8	0.856829217883849	0.751968781590682	0.976312217465259	0.0203469088140966
SLAMF8	0.899656023836941	0.810294804758838	0.998872208574734	0.0475794737208031
SLA2	0.759815475773393	0.646262533792529	0.893320480512469	0.000881344572356569
CD300LF	0.882806972785961	0.783298458898117	0.994956829477027	0.0410698788477983
KIR2DL4	0.763417539417941	0.649436238699226	0.897403478220221	0.00106769225769395
ADAMDEC1	0.923015798529103	0.854720928453247	0.996767641896953	0.0411007826314121
IL2RA	0.864018145263351	0.756494807456945	0.986824163213848	0.0311171781527879
PSMB9	0.898665550756599	0.810647503622933	0.996240373907709	0.0421955939660607
TNFRSF9	0.770832934740247	0.655760658669012	0.90609798777235	0.00160296138335371
CD3D	0.895717780894565	0.818233100422758	0.980540071767023	0.0170482102405564
ZNF683	0.860615029255274	0.781503327417352	0.947735220818218	0.00228042659923555
IL32	0.873398361538267	0.792248519816892	0.962860363707637	0.00651557672107827
EPSTI1	0.89213072609639	0.813509433544622	0.978350341897561	0.0153099200506854
CXCL11	0.922017760156249	0.858950074678665	0.989716137298873	0.0247097477568633
STAT1	0.860034651122738	0.767976251321531	0.963128221555035	0.00904481442434078
CD96	0.880123115323917	0.788732554067596	0.982103114842513	0.0224416327307806
APOL6	0.835637928300106	0.716849950058897	0.974110059094406	0.021717771129393
CD8A	0.919944554428149	0.850059041434052	0.995575532958627	0.0384554783437599
BATF2	0.807070509323477	0.730532245595092	0.891627728888347	2.48291307404746e-05
PTPN22	0.770866077258831	0.665998351196177	0.892246216527614	0.000486388613803272
SLAMF7	0.849851385667131	0.766588493834909	0.94215786374154	0.00198464559167563
CLEC12A	0.805250785591337	0.668922226317185	0.969363555559293	0.022093829277445
TAP2	0.864798716028235	0.753791509020666	0.992153414165853	0.038232826033751
CD38	0.859786560410801	0.783274261302905	0.943772783026714	0.00148842837942337
GFI1	0.810965231283171	0.704969629113948	0.932897786216354	0.00336903997550925
HK3	0.85477156192311	0.749965015921639	0.974224673899742	0.0187112400169797
CXCR3	0.826653113999571	0.73624966618585	0.928157121517375	0.00127453294456665
MMP12	0.923930269190627	0.877228582037613	0.973118249685648	0.00279304490883375
LAP3	0.869218601786224	0.771169235015261	0.979734335066214	0.0217194420716784
CD7	0.88362813415415	0.804985813077723	0.969953341765734	0.00928327625781292
IL21R	0.699683440655674	0.583847308579857	0.83850162522553	0.000109997892013843
CTSS	0.86891487184129	0.773581897528861	0.975996280314713	0.0178011283289758
CD3G	0.845932456358932	0.746187153723578	0.959011043208804	0.008954668334248
IL4I1	0.855673417434747	0.759437100987215	0.964104856547934	0.0104531268913732
PYHIN1	0.869142024289942	0.76033317808892	0.993522156017862	0.0398598050412314
PSMB8	0.824746129089456	0.719356646759049	0.945575717570146	0.00574110184974073
SLAMF1	0.839382727160678	0.723436621348665	0.973911662561699	0.0209714187083189
ETV7	0.78945592658238	0.703283732992569	0.886186656648617	6.10145171726376e-05
NLRC5	0.829341573781896	0.72521640393805	0.948416834296797	0.00626327161401852
CIITA	0.831032071938926	0.746005203299508	0.925749983427173	0.000776833083801593
PSMB10	0.792431840298638	0.698318054460967	0.89922953804166	0.000310290243143806
JAK2	0.81417375222752	0.72759512158617	0.911054622481732	0.000338527055742111
SH2D1A	0.868496284648657	0.768231855130331	0.98184654985513	0.0242798250738814
BTN3A1	0.848348919480125	0.736832746010373	0.976742541750397	0.0221822891462378
PDCD1	0.797633522673394	0.700867079433071	0.907760194710533	0.00061129142051326
CTLA4	0.800779126855455	0.704395542899632	0.910351032841153	0.000685245574575194
PARP9	0.812705594979359	0.699950817106755	0.943623991812581	0.00649999750097744
