riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs11676272-G	4E-9	-	0.48	-	"0.2 unit increase"	[0.13-0.27]	ADCY3	"Height adjusted BMI"	"height-adjusted body mass index"	-	GCST002538	2:24918669	25044758	"Stergiakouli E"
rs1558902-A	9E-10	-	0.40	-	"0.21 unit increase"	[0.13-0.27]	FTO	"Height adjusted BMI"	"height-adjusted body mass index"	-	GCST002538	16:53769662	25044758	"Stergiakouli E"
rs12882679-G	1E-6	-	0.687	-	"0.057 unit increase"	[0.033-0.081]	NRXN3	"Underweight status"	"underweight body mass index status"	-	GCST002569	14:79380895	25133637	"Scannell Bryan M"
rs6833159-T	3E-7	(males)	0.735	-	"0.087 unit increase"	[0.054-0.120]	MESTP3,LINC02364	"Underweight status"	"underweight body mass index status"	-	GCST002569	4:28831166	25133637	"Scannell Bryan M"
rs117763955-T	4E-8	-	0.022	1.799	-	-	ADGRB3	Underweight	"underweight body mass index status"	-	GCST90274863	6:69297029	36632775	"Zhou JY"
rs35721894-G	1E-7	-	0.225	1.271	-	-	DCC	Underweight	"underweight body mass index status"	-	GCST90274863	18:53384988	36632775	"Zhou JY"
rs118080693-T	2E-7	-	0.036	1.579	-	-	PSMB3	Underweight	"underweight body mass index status"	-	GCST90274863	17:38763797	36632775	"Zhou JY"
rs17180754-A	5E-7	-	0.058	1.434	-	-	RGS6	Underweight	"underweight body mass index status"	-	GCST90274863	14:72544330	36632775	"Zhou JY"
rs79491311-C	8E-7	-	0.151	1.28	-	-	ST8SIA5	Underweight	"underweight body mass index status"	-	GCST90274863	18:46671397	36632775	"Zhou JY"
rs7656666-G	6E-6	-	0.279	0.825	-	-	ANK2	Underweight	"underweight body mass index status"	-	GCST90274863	4:113088430	36632775	"Zhou JY"
rs1475010-C	6E-7	-	0.307	-	"0.06 unit increase"	[0.036-0.084]	LINC02306	"Overweight status"	"overweight body mass index status"	-	GCST002570	14:25667405	25133637	"Scannell Bryan M"
rs12101726-C	2E-7	(males)	0.195	-	"0.101 unit increase"	[0.064-0.138]	LINC01581,LINC01579	"Overweight status"	"overweight body mass index status"	-	GCST002570	15:94038713	25133637	"Scannell Bryan M"
rs1161397-A	9E-7	(males)	0.105	-	"0.127 unit increase"	[0.076-0.178]	DEFB112,TFAP2D	"Overweight status"	"overweight body mass index status"	-	GCST002570	6:50628740	25133637	"Scannell Bryan M"
rs7818910-?	8E-6	-	NR	2.81	-	-	HMGB1P46,ABRA	Overweight	"overweight body mass index status"	-	GCST90274857	8:106967179	37107557	"Kyrgiafini MA"
rs7863750-?	3E-6	-	NR	0.2582	-	-	MFSD14B	Overweight	"overweight body mass index status"	-	GCST90274857	9:94459181	37107557	"Kyrgiafini MA"
rs1554116-?	4E-6	-	NR	2.529	-	-	KCNK13	Overweight	"overweight body mass index status"	-	GCST90274857	14:90104032	37107557	"Kyrgiafini MA"
rs7500401-?	6E-6	-	NR	0.3421	-	-	LINC02152,TMEM114	Overweight	"overweight body mass index status"	-	GCST90274857	16:8445996	37107557	"Kyrgiafini MA"
rs8096590-A	7E-6	-	0.297955	1.07	-	[1.04-1.10]	LINC01541	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	18:71563999	30677029	"Riveros-McKay F"
rs1993709-?	5E-6	-	NR	1.29	-	[1.16-1.44]	LINC02796	"Obesity (extreme)"	"obese body mass index status"	-	GCST007241	1:72372846	30677029	"Riveros-McKay F"
rs9930333-G	9E-76	-	0.374575	1.48	-	[1.42-1.54]	FTO	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	16:53766065	30677029	"Riveros-McKay F"
rs2168711-C	2E-21	-	0.199531	1.27	-	[1.21-1.33]	MC4R,RNU4-17P	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	18:60181298	30677029	"Riveros-McKay F"
rs6748821-G	8E-21	-	0.798391	1.32	-	[1.24-1.39]	LINC01875,TMEM18	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	2:629601	30677029	"Riveros-McKay F"
rs506589-C	3E-20	-	0.180745	1.28	-	[1.21-1.35]	SEC16B	"Obese vs. thin"	"obese body mass index status"	-	GCST007240	1:177925152	30677029	"Riveros-McKay F"
