riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs9273368-G	8E-40	-	0.35	2.99	-	[2.60-3.91]	HLA-DQA1,HLA-DQB1	"Latent autoimmune diabetes vs. type 1 diabetes"	"type 1 diabetes mellitus,latent autoimmune diabetes in adults"	-	GCST007247	6:32658698	30254083	"Cousminer DL"
rs9273368-?	3E-78	-	0.301	2.439	-	[2.222-2.676]	HLA-DQA1,HLA-DQB1	"Latent autoimmune diabetes vs. type 2 diabetes"	"latent autoimmune diabetes in adults,type 2 diabetes mellitus"	-	GCST007246	6:32658698	30254083	"Cousminer DL"
rs689-?	1E-18	-	0.715	1.473	-	[1.352-1.605]	INS-IGF2,INS	"Latent autoimmune diabetes vs. type 2 diabetes"	"latent autoimmune diabetes in adults,type 2 diabetes mellitus"	-	GCST007246	11:2160994	30254083	"Cousminer DL"
rs2476601-?	5E-16	-	0.14	1.529	-	[1.38-1.693]	PTPN22,AP4B1-AS1	"Latent autoimmune diabetes vs. type 2 diabetes"	"latent autoimmune diabetes in adults,type 2 diabetes mellitus"	-	GCST007246	1:113834946	30254083	"Cousminer DL"
rs3184504-?	2E-8	-	0.52	1.24	-	[1.151-1.336]	SH2B3,ATXN2	"Latent autoimmune diabetes vs. type 2 diabetes"	"latent autoimmune diabetes in adults,type 2 diabetes mellitus"	-	GCST007246	12:111446804	30254083	"Cousminer DL"
rs1983890-C	3E-8	-	0.642	1.2302363	-	"[1.14396450049362-1.32301382549448]"	PFKFB3,RBM17	"Latent autoimmune diabetes"	"latent autoimmune diabetes in adults"	-	GCST007245	10:6136651	30254083	"Cousminer DL"
rs11755527-?	1E-7	-	0.443857	1.203898	-	[1.125016-1.288312]	BACH2	"Latent autoimmune diabetes"	"latent autoimmune diabetes in adults"	-	GCST007245	6:90248512	30254083	"Cousminer DL"
rs11888640-?	2E-6	-	0.481522	1.1833298	-	[1.1-1.27]	THADA	"Latent autoimmune diabetes"	"latent autoimmune diabetes in adults"	-	GCST007245	2:43579243	30254083	"Cousminer DL"
rs11699802-?	8E-7	-	NR	-	"0.059 unit decrease"	-	CEBPB,PELATON	"Cystic Fibrosis-Related Diabetes in Cystic Fibrosis (adjusted for Meconium Ileus)"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104461	20:50215598	36206743	"Aksit MA"
rs2869963-?	5E-7	-	NR	-	"0.061 unit decrease"	-	CEBPB,PELATON	"Cystic Fibrosis-Related Diabetes in Cystic Fibrosis (adjusted for Meconium Ileus)"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104461	20:50218524	36206743	"Aksit MA"
rs2094716-?	1E-6	-	NR	-	"0.059 unit decrease"	-	PELATON,CEBPB	"Cystic Fibrosis-Related Diabetes in Cystic Fibrosis (adjusted for Meconium Ileus)"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104461	20:50218794	36206743	"Aksit MA"
rs2036100-?	3E-6	-	NR	-	"0.057 unit decrease"	-	SLC26A9	"Cystic fibrosis-related diabetes in cystic fibrosis"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104460	1:205938744	36206743	"Aksit MA"
rs1874361-?	2E-7	-	NR	-	"0.063 unit decrease"	-	SLC26A9	"Cystic fibrosis-related diabetes in cystic fibrosis"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104460	1:205939058	36206743	"Aksit MA"
rs4077468-?	7E-6	-	NR	-	"0.055 unit decrease"	-	SLC26A9,RAB7B	"Cystic fibrosis-related diabetes in cystic fibrosis"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104460	1:205945629	36206743	"Aksit MA"
rs6095829-?	3E-7	-	NR	-	"0.061 unit decrease"	-	PELATON,CEBPB	"Cystic fibrosis-related diabetes in cystic fibrosis"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104460	20:50214170	36206743	"Aksit MA"
rs11699802-?	3E-7	-	NR	-	"0.061 unit decrease"	-	CEBPB,PELATON	"Cystic fibrosis-related diabetes in cystic fibrosis"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104460	20:50215598	36206743	"Aksit MA"
rs2869963-?	2E-7	-	NR	-	"0.062 unit decrease"	-	CEBPB,PELATON	"Cystic fibrosis-related diabetes in cystic fibrosis"	"cystic fibrosis-related diabetes"	"cystic fibrosis"	GCST90104460	20:50218524	36206743	"Aksit MA"
